Specimen properties : Length,100,mm
Specimen properties : Thickness,1,mm
Specimen properties : Width,10,mm
Test : Rate 1,5,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
43,3.58334,26718.57422
43.05,3.58756,26723.48633
43.1,3.59168,26728.34375
43.15,3.5959,26734.81055
43.2,3.60011,26738.97656
43.25,3.60424,26741.56641
43.3,3.60845,26746.12109
43.35,3.61267,26752.24219
43.4,3.61679,26755.51172
43.45,3.62092,26761.22852
43.5,3.62504,26767.34375
43.55,3.62926,26771.83203
43.6,3.63338,26776.79297
43.65,3.6375,26782.80469
43.7,3.64172,26787.45312
43.75,3.64594,26790.78906
43.8,3.65006,26796.22852
43.85,3.65428,26801.19336
43.9,3.65849,26804.41797
43.95,3.66262,26809.10742
44,3.66674,26813.81641
44.05,3.67096,26817.56641
44.1,3.67508,26821.88672
44.15,3.6793,26827.69336
44.2,3.68351,26833.10742
44.25,3.68763,26837.74219
44.3,3.69176,26842.51367
44.35,3.69597,26846.66211
44.4,3.70019,26851.00781
44.45,3.70431,26853.92578
44.5,3.70844,26860.68359
44.55,3.71265,26865.86328
44.6,3.71678,26870.12891
44.65,3.72099,26873.23438
44.7,3.72512,26877.38477
44.75,3.72933,26880.91406
44.8,3.73346,26885.0332
44.85,3.73758,26889.25781
44.9,3.74189,26892.92383
44.95,3.74601,26896.36719
45,3.75014,26899.27539
45.05,3.75435,26904.79492
45.1,3.75848,26909.18359
45.15,3.7626,26913.21289
45.2,3.76682,26917.73828
45.25,3.77103,26921.01953
45.3,3.77516,26924.03516
45.35,3.77928,26929.97461
